ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
Passeriformes;Zosteropidae;432587;Zosterops olivaceus;Oiseau lunettes vert, Oiseau vert;3;A;https://inpn.mnhn.fr/espece/cd_nom/432587
Passeriformes;Vireonidae;441843;Cyclarhis gujanensis;Sourciroux mélodieux ;3;;https://inpn.mnhn.fr/espece/cd_nom/441843
Passeriformes;Vireonidae;441997;Hylophilus pectoralis;Viréon à tête cendrée ;3;;https://inpn.mnhn.fr/espece/cd_nom/441997
Passeriformes;Vireonidae;441998;Hylophilus semicinereus;Viréon à gorge grise;3;;https://inpn.mnhn.fr/espece/cd_nom/441998
Passeriformes;Vireonidae;829185;Hylophilus semicinereus viridiceps;;3;;https://inpn.mnhn.fr/espece/cd_nom/829185
Passeriformes;Vireonidae;829186;Pachysylvia semicinerea viridiceps;;3;;https://inpn.mnhn.fr/espece/cd_nom/829186
Passeriformes;Vireonidae;441999;Hylophilus thoracicus;Viréon à plastron ;3;;https://inpn.mnhn.fr/espece/cd_nom/441999
Passeriformes;Vireonidae;829094;Hylophilus thoracicus griseiventris;;3;;https://inpn.mnhn.fr/espece/cd_nom/829094
Passeriformes;Vireonidae;829095;Hylophilus griseiventris griseiventris;;3;;https://inpn.mnhn.fr/espece/cd_nom/829095
Passeriformes;Vireonidae;828675;Pachysylvia muscicapina;Viréon fardé ;3;;https://inpn.mnhn.fr/espece/cd_nom/828675
Passeriformes;Vireonidae;441995;Hylophilus muscicapinus;Viréon fardé ;3;;https://inpn.mnhn.fr/espece/cd_nom/441995
Passeriformes;Vireonidae;828677;Tunchiornis ochraceiceps;Viréon à calotte rousse ;3;;https://inpn.mnhn.fr/espece/cd_nom/828677
Passeriformes;Vireonidae;441996;Hylophilus ochraceiceps;Viréon à calotte rousse ;3;;https://inpn.mnhn.fr/espece/cd_nom/441996
Passeriformes;Vireonidae;829091;Tunchiornis ochraceiceps luteifrons;;3;;https://inpn.mnhn.fr/espece/cd_nom/829091
Passeriformes;Vireonidae;829092;Hylophilus luteifrons;;3;;https://inpn.mnhn.fr/espece/cd_nom/829092
Passeriformes;Vireonidae;829093;Hylophilus ochraceiceps luteifrons;;3;;https://inpn.mnhn.fr/espece/cd_nom/829093
Passeriformes;Vireonidae;442513;Vireo altiloquus;Viréo à moustaches, Cuek, Tchouek, Piade, Piopio, Tchuenck;3;;https://inpn.mnhn.fr/espece/cd_nom/442513
Passeriformes;Vireonidae;813828;Muscicapa altiloqua;Viréo à moustaches, Cuek, Tchouek, Piade, Piopio, Tchuenck;3;;https://inpn.mnhn.fr/espece/cd_nom/813828
Passeriformes;Vireonidae;442514;Vireo flavifrons;Viréo à gorge jaune, Viréo à poitrine jaune;3;;https://inpn.mnhn.fr/espece/cd_nom/442514
Passeriformes;Vireonidae;4560;Vireo olivaceus;Viréo aux yeux rouges, Viréo à oeil rouge;3;B;https://inpn.mnhn.fr/espece/cd_nom/4560
Passeriformes;Vireonidae;813830;Muscicapa olivacea;Viréo aux yeux rouges, Viréo à oeil rouge;3;B;https://inpn.mnhn.fr/espece/cd_nom/813830
Passeriformes;Vireonidae;829096;Vireo olivaceus vividior;;3;;https://inpn.mnhn.fr/espece/cd_nom/829096
Passeriformes;Vireonidae;199416;Vireo philadelphicus;Viréo de Philadelphie;3;;https://inpn.mnhn.fr/espece/cd_nom/199416
Passeriformes;Vireonidae;442516;Vireo solitarius;Viréo solitaire, Viréo à tête bleue;3;;https://inpn.mnhn.fr/espece/cd_nom/442516
Passeriformes;Vireonidae;442517;Vireolanius leucotis;Smaragdan oreillard ;3;;https://inpn.mnhn.fr/espece/cd_nom/442517
Passeriformes;Viduidae;714620;Viduidae;;3;;
Passeriformes;Viduidae;418665;Vidua;;3;;
Passeriformes;Viduidae;418757;Vidua macroura;Veuve dominicaine;3;;https://inpn.mnhn.fr/espece/cd_nom/418757
Strigiformes;Tytonidae;3482;Tyto alba;Chouette effraie, Effraie des clochers;3;P;https://inpn.mnhn.fr/espece/cd_nom/3482
Strigiformes;Tytonidae;3484;Strix alba;Chouette effraie, Effraie des clochers;3;P;https://inpn.mnhn.fr/espece/cd_nom/3484
Strigiformes;Tytonidae;3485;Tyto alba alba;Chouette effraie, Effraie des clochers;3;P;https://inpn.mnhn.fr/espece/cd_nom/3485
Strigiformes;Tytonidae;3486;Tyto alba ernesti;Chouette effraie, Effraie des clochers;3;P;https://inpn.mnhn.fr/espece/cd_nom/3486
Strigiformes;Tytonidae;728079;Tyto alba affinis;Effraie des clochers, Chouette effraie;3;;https://inpn.mnhn.fr/espece/cd_nom/728079
Strigiformes;Tytonidae;828886;Tyto alba hellmayri;;3;;https://inpn.mnhn.fr/espece/cd_nom/828886
Strigiformes;Tytonidae;784903;Tyto javanica;;3;;https://inpn.mnhn.fr/espece/cd_nom/784903
Strigiformes;Tytonidae;784904;Tyto delicatula;;3;;https://inpn.mnhn.fr/espece/cd_nom/784904
Strigiformes;Tytonidae;698724;Tyto? letocarti;;3;A;https://inpn.mnhn.fr/espece/cd_nom/698724
Passeriformes;Tyrannidae;441669;Arundinicola leucocephala;Moucherolle à tête blanche ;3;;https://inpn.mnhn.fr/espece/cd_nom/441669
Passeriformes;Tyrannidae;441675;Attila cinnamomeus;Attila cannelle ;3;;https://inpn.mnhn.fr/espece/cd_nom/441675
Passeriformes;Tyrannidae;441676;Attila spadiceus;Attila à croupion jaune ;3;;https://inpn.mnhn.fr/espece/cd_nom/441676
Passeriformes;Tyrannidae;441714;Camptostoma obsoletum;Tyranneau passegris ;3;;https://inpn.mnhn.fr/espece/cd_nom/441714
Passeriformes;Tyrannidae;829025;Muscicapa obsoleta;Tyranneau passegris ;3;;https://inpn.mnhn.fr/espece/cd_nom/829025
Passeriformes;Tyrannidae;829026;Camptostoma obsoletum napaeum;;3;;https://inpn.mnhn.fr/espece/cd_nom/829026
Passeriformes;Tyrannidae;829027;Ornithion napaeum;;3;;https://inpn.mnhn.fr/espece/cd_nom/829027
Passeriformes;Tyrannidae;528773;Capsiempis;;3;;
Passeriformes;Tyrannidae;528771;Capsiempis flaveola;Tyranneau flavéole;3;;https://inpn.mnhn.fr/espece/cd_nom/528771
Passeriformes;Tyrannidae;528772;Phylloscartes flaveola;Tyranneau flavéole;3;;https://inpn.mnhn.fr/espece/cd_nom/528772
Passeriformes;Tyrannidae;829169;Capsiempis flaveola cerula;;3;;https://inpn.mnhn.fr/espece/cd_nom/829169
Passeriformes;Tyrannidae;441724;Capsiempsis flaveola;;3;;https://inpn.mnhn.fr/espece/cd_nom/441724
Passeriformes;Tyrannidae;441780;Cnemotriccus fuscatus;Moucherolle fuligineux ;3;;https://inpn.mnhn.fr/espece/cd_nom/441780
Passeriformes;Tyrannidae;828878;Cnemotriccus fuscatus fumosus;;3;;https://inpn.mnhn.fr/espece/cd_nom/828878
Passeriformes;Tyrannidae;828879;Empidochanes fuscatus fumosus;;3;;https://inpn.mnhn.fr/espece/cd_nom/828879
Passeriformes;Tyrannidae;441790;Colonia colonus;Moucherolle à longs brins ;3;;https://inpn.mnhn.fr/espece/cd_nom/441790
Passeriformes;Tyrannidae;829035;Muscicapa colonus;Moucherolle à longs brins ;3;;https://inpn.mnhn.fr/espece/cd_nom/829035
Passeriformes;Tyrannidae;829036;Colonia colonus poecilonota;;3;;https://inpn.mnhn.fr/espece/cd_nom/829036
Passeriformes;Tyrannidae;829037;Copurus poecilonotus;;3;;https://inpn.mnhn.fr/espece/cd_nom/829037
Passeriformes;Tyrannidae;459475;Conopias parvus;Tyran de Pelzeln;3;;https://inpn.mnhn.fr/espece/cd_nom/459475
